img,name,direct,geschlecht,id,href,ageGroup,lastnamefirst,federalState,party,job,office
/blueprint/servlet/resource/image/870018/3x4/108/144/80bfd05dd366af5c81af062e8977fd12/B227D12D932F6C4D577CC53B36BE74A9/ullrich_frank.jpg,Frank Ullrich,1,männlich,861430,/abgeordnete/biografien/U/ullrich_frank-861430,65 - 69 Jahre,"Ullrich, Frank",Thüringen,SPD,Diplom-Sportlehrer (Trainer),<Element p at 0x16eaf4ec0>
/blueprint/servlet/resource/image/864500/3x4/108/144/6602413a7c0a5c217975b3fe473933bc/6B03E58DF5DB3C138F7D6F5A5896000D/mueller_axel_gross.jpg,Axel Müller,1,männlich,857788,/abgeordnete/biografien/M/mueller_axel-857788,60 - 64 Jahre,"Müller, Axel",Baden-Württemberg,CDU/CSU,Richter,<Element p at 0x17030fe00>
/blueprint/servlet/resource/image/864960/3x4/108/144/ef55b0a501d51f8ca4d85da10cdfe1fd/A86011F569B4DB94FD6B96F06342792A/voellers_marja_liisa_bild.jpg,Marja-Liisa Völlers,1,weiblich,858132,/abgeordnete/biografien/V/voellers_marja-858132,35 - 39 Jahre,"Völlers, Marja-Liisa",Niedersachsen,SPD,Lehrerin,<Element p at 0x170911800>
/blueprint/servlet/resource/image/864502/3x4/108/144/d2a34bed5183f688e825a399d4f0bfe1/8E36BAD6EDD105115D0B662329FF139B/mueller_carsten_bild.jpg,Carsten Müller,0,männlich,857782,/abgeordnete/biografien/M/mueller_carsten-857782,50 - 54 Jahre,"Müller (Braunschweig), Carsten",Niedersachsen,CDU/CSU,Bankkaufmann / Rechtsanwalt,<Element p at 0x17028e180>
/blueprint/servlet/resource/image/864962/3x4/108/144/af4fb7ee794c6ebbc1655862e76eb6b5/8353FDC7B69A9F30D4E202A0E91D23F6/voepel_dirk_gross.jpg,Dirk Vöpel,1,männlich,858128,/abgeordnete/biografien/V/voepel_dirk-858128,50 - 54 Jahre,"Vöpel, Dirk",Nordrhein-Westfalen,SPD,Selbständiger Kaufmann,<Element p at 0x1708b3380>
/blueprint/servlet/resource/image/863728/3x4/108/144/38ecb1e0251f04a0650be59cb6fe2620/548B6110CD34B1CDF5F0BE50BE39A945/mueller_florian.jpg,Florian Müller,1,männlich,861766,/abgeordnete/biografien/M/mueller_florian-861766,35 - 39 Jahre,"Müller, Florian",Nordrhein-Westfalen,CDU/CSU,Referent für Strategie und Regulierung,<Element p at 0x16e62db00>
/blueprint/servlet/resource/image/862456/3x4/108/144/55538f6805f0ae09322d3167f70e03dd/1678B96452B4577946F30A7405E4DF02/vontz_emily.jpg,Emily Vontz,0,weiblich,861250,/abgeordnete/biografien/V/vontz_emily-861250,18 - 24 Jahre,"Vontz, Emily",Saarland,SPD,Studentin,<Element p at 0x170adec80>
/blueprint/servlet/resource/image/864492/3x4/108/144/4cf2efec82275726662ca3e106b1c0ba/4A7359825CA8E357928180AB413EA0CF/mueller_sepp_gross.jpg,Sepp Müller,1,männlich,857766,/abgeordnete/biografien/M/mueller_sepp-857766,35 - 39 Jahre,"Müller, Sepp",Sachsen-Anhalt,CDU/CSU,Diplomierter Bankbetriebswirt,<Element p at 0x16e5f09c0>
/blueprint/servlet/resource/image/862462/3x4/108/144/5f8c481f6bddc69145dea9a5b2748f46/65F28241CF0273688F8D67BB7BCAC073/wagner_carolin.jpg,Dr. Carolin Wagner,0,weiblich,860296,/abgeordnete/biografien/W/wagner_carolin-860296,40 - 44 Jahre,"Wagner, Dr. Carolin",Bayern,SPD,Referatsleiterin,<Element p at 0x16ecb2280>
/blueprint/servlet/resource/image/863744/3x4/108/144/f681f9a4905b0c4c1fefc0d34edf54f7/4C0ADA0E9C7604CFA858D09EB07E541A/mueller_stefan.jpg,Stefan Müller,1,männlich,857778,/abgeordnete/biografien/M/mueller_stefan-857778,45 - 49 Jahre,"Müller (Erlangen), Stefan",Bayern,CDU/CSU,,<Element p at 0x16e951c80>
/blueprint/servlet/resource/image/862470/3x4/108/144/5030bc07de4b8cc85416ae30a71e0a1d/86EFD9BF9E519193E5910DE5AA197AF5/walter_hannes.jpg,Hannes Walter,1,männlich,860478,/abgeordnete/biografien/W/walter_hannes-860478,40 - 44 Jahre,"Walter, Hannes",Brandenburg,SPD,Betriebswirt,<Element p at 0x170913280>
/blueprint/servlet/resource/image/862304/3x4/108/144/a4f1402aedb66cbee7837d6316abf9a5/4192DE8ED909987F721DD403D536BF6E/nacke_stefan_gross.jpg,Dr. Stefan Nacke,0,männlich,860956,/abgeordnete/biografien/N/nacke_stefan-860956,45 - 49 Jahre,"Nacke, Dr. Stefan",Nordrhein-Westfalen,CDU/CSU,"Soziologe, Sozialethiker",<Element p at 0x1703b20c0>
/blueprint/servlet/resource/image/862636/3x4/108/144/78a96b5c9d1250c729099c36a087477f/78441019949B87946A81B6BE6E8625B7/wallstein_maja.jpg,Maja Wallstein,1,weiblich,860470,/abgeordnete/biografien/W/wallstein_maja-860470,35 - 39 Jahre,"Wallstein, Maja",Brandenburg,SPD,Wissenschaftsmanagerin,<Element p at 0x1702a9c40>
/blueprint/servlet/resource/image/864932/3x4/108/144/a288603e535e2e08de2dc089d132aefd/EC86D614555FB074BA1246EDD20D84DD/nicolaisen_petra_bild.jpg,Petra Nicolaisen,0,weiblich,857808,/abgeordnete/biografien/N/nicolaisen_petra-857808,55 - 59 Jahre,"Nicolaisen, Petra",Schleswig-Holstein,CDU/CSU,Industriekauffrau,<Element p at 0x16e5bbc40>
