date;title;vote
15.01.2020;Einsatz der Bundeswehr im Irak;Nicht abg.
                                                    
20.12.2019;Antrag DIE LINKE: Keine Anschaffung, sondern Ächtung bewaffneter Drohnen;Nicht abg.
                                                    
20.12.2019;Beschlussempfehlung des Verteidigungsausschusses zum Antrag der FDP ;Nicht abg.
                                                    
19.12.2019;Gesetzentwurf der Fraktion der FDP zum Wolfsmanagement;Nicht abg.
                                                    
19.12.2019;Entschließungsantrag Die Linke: Änderung des Bundesnaturschutzgesetzes;Nicht abg.
                                                    
19.12.2019;Gesetzentwurf Bundesregierung: Änderung Bundesnaturschutzgesetzes;Nicht abg.
                                                    
19.12.2019;Gesetz zur Umsetzung des Klimaschutzprogramms 2030 im Steuerrecht;Ja
19.12.2019;Vorgehen gegen die Hisbollah ;Ja
19.12.2019;Föderale Sicherheitsarchitektur ;Ja
29.11.2019;Einzelplan 60 (Allgemeine Finanzverwaltung) - Entschließungsantrag AfD;Nein
29.11.2019;Einzelplan 14 (Verteidigung) - Entschließungsantrag AfD;Nein
29.11.2019;Haushaltsjahr 2020;Ja
27.11.2019;Einzelplan 04 - Geschäftsbereich der Bundeskanzlerin und des Bundeskanzleramtes;Ja
26.11.2019;Änderungsantrag zu Einzelplan 16 (Umweltministerium);Nein
15.11.2019;Änderung des Luftverkehrsteuergesetzes;Ja
14.11.2019;Beschlussempfehlung zu Verbot von Tierexporten;Ja
14.11.2019; Beschlussempfehlung zu Einsatz chemischer Pflanzenschutzmittel;Ja
14.11.2019;Stärkung der Impfprävention (Masernschutz) ;Ja
14.11.2019;Wettbewerbsfähigkeit der deutschen Wirtschaft ;Ja
14.11.2019;Beschlussempfehlung des Finanzausschusses zum Antrag 19/4898;Ja
14.11.2019;Gesetzentwurf der FDP: Abschaffung des Solidaritätszuschlags;Nein
14.11.2019;Gesetzentwurf der Bundesregierung: Solidaritätszuschlag;Ja
13.11.2019;Gesetzentwurf Direktzahlungen-Durchführungsgesetz;Ja
13.11.2019;Änderungsantrag zu Direktzahlungen-Durchführungsgesetz;Nein
07.11.2019;Änderungsantrag der FDP (19/14883);Nein
07.11.2019;Änderungsantrag der FDP (19/14882);Nein
24.10.2019;Wettbewerbsfähige Landwirtschaft;Nein
24.10.2019;Russlandpolitik;Ja
24.10.2019;Beschlussempfehlung zu Bundeswehreinsatz zur Bekämpfung des IS-Terrors;Ja
18.10.2019;Beschlussempfehlung zum Antrag Die Linke - Grundsteuer;Ja
18.10.2019;Gesetzentwurf der CDU/CSU und SPD zur Änderung des Grundgesetzes - Grundsteuerreform;Ja
17.10.2019;Verkehrspolitik;Ja
17.10.2019;Entschließungsantrag Die Linke zur Regierungserklärung;Nein
26.09.2019; Antrag CDU/CSU, SPD - EU-Beitrittsantrag Albaniens;Nicht abg.
                                                    
26.09.2019;Antrag CDU/CSU, SPD - EU-Beitrittsantrag Nordmazedoniens;Nicht abg.
                                                    
26.09.2019;Entschließungsantrag der AfD zu Gesetzentwurf deutsch-französische Zusammenarbeit und Integration;Nicht abg.
                                                    
