date;title;vote
18.10.2012;Wettbewerbsbeschränkungen;Ja
19.07.2012;Finanzhilfen für Spanien;Ja
29.06.2012;Stabilitätsmechanismus Euro-Länder;Ja
29.06.2012;Finanzielle Beteiligung am Europäischen Stabilitätsmechanismus;Ja
29.06.2012;Einrichtung des Europäischen Stabilitätsmechanismus (ESM);Ja
29.06.2012;Stabilität, Koordinierung und Steuerung in der Wirtschafts- und Währungsunion;Ja
29.06.2012;Pflege-Neuausrichtungsgesetz;Nicht abg.
                                                    
28.06.2012;Eheschließungsgesetz für gleichgeschlechtliche Personen;Nicht abg.
                                                    
28.06.2012;Ungleichbehandlung eingetragener Lebenspartnerschaften;Nicht abg.
                                                    
28.06.2012;UN-Mandatsverlängerung im Libanon;Nicht abg.
                                                    
14.06.2012;Nachtragshaushalt 2012;Ja
25.05.2012;Mandatsverlängerung im Kosovo;Ja
24.05.2012;Änderung Grundgesetz (Art. 93);Ja
10.05.2012;Keine Erdgasförderung auf Kosten des Trinkwassers;Ja
10.05.2012;Transparenz und Kontrolle bei der Förderung von Erdgas;Ja
10.05.2012;Leitlinien für die Förderung von Erdgas;Ja
10.05.2012;Mandatsverlängerung der Piraten-Bekämpfung vor Somalia;Ja
26.04.2012;Rechte der Arbeitsuchenden;Ja
26.04.2012;Sanktionen und Leistungseinschränkungen im SGB abschaffen;Ja
29.03.2012;Aufhebung der Ankündigung eines Betreuungsgeldes;Nein
29.03.2012;Strom aus Solarenergie (erneuerbare Energiengesetz);Ja
29.03.2012;Abbau der kalten Progression;Ja
27.02.2012;Finanzhilfen zugunsten Griechenlands;Ja
26.01.2012;Entschließungsantrag zur Mandatsverlängerung in Afghanistan (ISAF);Nein
26.01.2012;Entschließungsantrag zur Mandatsverlängerung in Afghanistan (ISAF);Nein
26.01.2012;Beschlussempfehlung zur Mandatsverlängerung in Afghanistan (ISAF);Ja
15.12.2011;Fachkräftegewinnung im Bund;Nein
15.12.2011;Rente mit 67;Nein
02.12.2011;Quotenregelung für Aufsichtsräte und Vorstände gesetzlich festschreiben;Ja
02.12.2011;Geschlechtergerechte Besetzung von Aufsichtsräten;Nein
01.12.2011;EU-Operation ALTHEA ;Ja
01.12.2011;EU-Operation Atalanta;Ja
01.12.2011;NATO-Operation Active Endeavour;Ja
25.11.2011;Haushaltsgesetz 2012;Nicht abg.
                                                    
25.11.2011;Änderungsantrag von Die Linke zum Haushaltsgesetz 2012 (Verkehr);Nein
25.11.2011;Änderungsantrag der SPD zum Haushaltsgesetz 2012 (Verkehr);Nein
24.11.2011;Änderungsantrag von Bündnis 90/Die Grünen zum Haushaltsgesetz 2012 (Familie);Nein
24.11.2011;Änderungsantrag von Die Linke zum Haushaltsgesetz 2012 (Familie);Nein
24.11.2011;Änderungsantrag der SPD zum Haushaltsgesetz 2012 (Familie);Nein
23.11.2011;Haushaltsgesetz 2012 (Bundeskanzleramt);Ja
10.11.2011;Änderung des Staatsangehörigkeitsrechts;Nein
26.10.2011;Entschließungsantrag von Die Linke zum Europäischen Rat und zum Eurogipfel ;Nein
26.10.2011;Entschließungsantrag der SPD zum Europäischen Rat und zum Eurogipfel ;Nein
26.10.2011;Entschließungsantrag von CDU/CSU, SPD, FDP und Bündnis 90/Die Grünen zum Europäischen Rat und zum Eurogipfel ;Ja
29.09.2011;Bundeswehreinsatz im Südsudan (UNMISS);Ja
29.09.2011;Änderung des Bundeswahlgesetzes;Ja
29.09.2011;Europäischer Stabilisierungsmechanismus (ESM);Ja
08.07.2011;Keine Genehmigung zur Lieferung von Kriegswaffen an Saudi-Arabien;Nicht abg.
                                                    
08.07.2011;Keine Rüstungsgüter in Spannungsgebiete;Nicht abg.
                                                    
08.07.2011;Panzerlieferung an Saudi-Arabien;Nicht abg.
                                                    
08.07.2011;Friedensmission deutscher Streitkräfte im Südsudan;Ja
08.07.2011;Mandatsverlängerung in Darfur (Sudan);Ja
07.07.2011;Verbot der Speicherung von Kohlendioxid im Untergrund;Nein
07.07.2011;Speicherung von Kohlendioxid;Ja
07.07.2011;Unverzügliche Aussetzung des Deutsch-Syrischen-Rückübernahmeabkommens;Ja
07.07.2011;Präimplantationsdiagnostikgesetz;Nein
30.06.2011;Energiewende zukunftsfähig gestalten;Nein
30.06.2011;Änderung des Grundgesetzes - Ausstiegs aus der Atomenergie;Nein
30.06.2011;Beschleunigung des Netzausbaus;Ja
30.06.2011;Änderung des Atomgesetzes;Ja
09.06.2011;Mandatsverlängerung im Kosovo;Ja
09.06.2011;UN-Mandatsverlängerung im Libanon;Ja
26.05.2011;Angleichung der Renten in Ostdeutschland;Nicht abg.
                                                    
26.05.2011;Arbeitnehmerüberlassungsgesetz und Schwarzarbeitsbekämpfungsgesetz;Ja
25.03.2011;Mandatsverlängerung in  Afghanistan (ISAF);Ja
17.03.2011;Soziale Fortschrittsklausel ins EU-Vertragswerk;Ja
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, 2. Entschließungsantrag von Bündnis 90/Die Grünen;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Entschließungsantrag von Bündnis 90/Die Grünen;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Entschließungsantrag von Die Linke;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Nummer 4 des Entschließungsantrags der SPD ;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Nummer 3 des Entschließungsantrags der SPD ;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Nummer 2 des Entschließungsantrags der SPD ;Nein
17.03.2011;Regierungserklärung zur aktuellen Lage in Japan, Entschließungsantrag von CDU/CSU und FDP;Ja
25.02.2011;Regelbedarf - Änderung des Sozialgesetzbuches;Ja
24.02.2011;Massentierhaltung im Außenbereich;Nein
24.02.2011;Privatisierung von Äckern, Seen und Wäldern;Ja
24.02.2011;Überleitung von DDR-Rentenrecht;Ja
11.02.2011;Regelbedarf - Änderung des Sozialgesetzbuches;Ja
28.01.2011;Mandatsverlängerung in Afghanistan (ISAF);Ja
17.12.2010;Menschenrecht auf Religions- und Glaubenfreiheit;Ja
17.12.2010;Religionsfreiheit schützen;Ja
03.12.2010;Stuttgart 21 - Bau- und Vergabestopp;Nein
03.12.2010;Regelbedarf - Änderung des Sozialgesetzbuches, Entschließungsantrag der SPD;Nein
03.12.2010;Regelbedarf - Änderung desSozialgesetzbuches;Ja
03.12.2010;Regelbedarf - Änderung des Sozialgesetzbuches, 2. Änderungsantrag von Bündnis 90/Die Grünen;Nein
03.12.2010;Regelbedarf - Änderung des Sozialgesetzbuches, 1. Änderungsantrag von Bündnis 90/Die Grünen;Nein
03.12.2010;Regelbedarf - Änderung des Sozialgesetzbuches, Änderungsantrag von Die Linke;Nein
02.12.2010;Mandatsverlängerung der NATO-Operation Active Endeavour;Ja
02.12.2010;Mandatsverlängerung der EU-Operation ALTHEA;Ja
02.12.2010;Mandatsverlängerung der EU-Operation Atalanta;Ja
02.12.2010;Irland unterstützen;Nein
02.12.2010;Irland unterstützen und Steuerharmonisierung vorantreiben;Nein
26.11.2010;Zurückweisung des Einspruchs des Bundesrates;Ja
26.11.2010;Haushaltsgesetz 2011;Ja
26.11.2010;Änderungsantrag zum Haushaltsgesetz 2011;Nein
26.11.2010;Haushaltsgesetz 2011 (Allgemeine Verwaltung);Nein
25.11.2010;Haushaltsgesetz 2011 (Umwelt);Nein
25.11.2010; Änderungsantrag zum Haushaltsgesetz 2011 (Innern);Nein
24.11.2010;Haushaltsgesetz 2011 (Bundeskanzlerin und Bundeskanzleramt);Ja
23.11.2010;Haushaltsgesetz 2011 (Verkehr);Nein
23.11.2010; Haushaltsgesetz 2011 (Arbeit);Nein
12.11.2010;Einführung der dreistufigen Volksgesetzgebung in das Grundgesetz;Nein
12.11.2010;Finanzierung der Gesetzlichen Krankenversicherung, Entschließungsantrag;Nein
12.11.2010;Finanzierung der Gesetzlichen Krankenversicherung;Ja
11.11.2010;Arzneimittelmarktneuordnungsgesetz, Entschließungsantrag;Nein
11.11.2010;Arzneimittelmarktneuordnungsgesetz;Ja
28.10.2010;Jahressteuergesetz 2010;Nein
28.10.2010;Haushaltsbegleitgesetz 2011;Ja
28.10.2010;Haushaltsbegleitgesetz 2011, Änderungsantrag;Nein
28.10.2010;Kernbrennstoffsteuergesetz;Ja
28.10.2010;Energie- und Klimafonds;Ja
28.10.2010;Atomgesetz - Gesetzentwurf;Ja
28.10.2010;Atomgesetz - Änderungsantrag 17/3530 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3529 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3528 Bündnis 90/Die Grünen;Nein
28.10.2010; Atomgesetz;Ja
28.10.2010;Atomgesetz - Änderungsantrag 17/3495 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3494 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3493 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3492 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3491 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3490 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3489 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3488 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3487 Bündnis 90/Die Grünen;Nein
28.10.2010;Atomgesetz - Änderungsantrag 17/3486 Bündnis 90/Die Grünen;Nein
17.06.2010;Entschließungsantrag zum Wehrrechtsänderungsgesetz 2010;Nein
17.06.2010;Wehrrechtsänderungsgesetz 2010;Ja
17.06.2010;Mandatsverlängerung in Darfur (Sudan);Ja
17.06.2010;Mandatsverlängerung im Sudan;Ja
17.06.2010;UN-Mandatsverlängerung im Libanon;Ja
17.06.2010;Änderung des Grundgesetzes (Artikel 91e);Ja
10.06.2010;Kernfusionsforschung kritisch überprüfen;Ja
10.06.2010;Mandatsverlängerung im Kosovo;Ja
21.05.2010;Europäischer Stabilisierungsmechanismus, Entschließungsantrag von Bündnis 90/Die Grünen;Nein
21.05.2010;Europäischer Stabilisierungsmechanismus, 2. Entschließungsantrag der SPD;Nein
21.05.2010;Europäischer Stabilisierungsmechanismus, 1. Entschließungsantrag der SPD;Nein
21.05.2010;Übernahme von Gewährleistungen im Rahmen eines europäischen Stabilisierungsmechanismus;Ja
07.05.2010;Währungsunion-Finanzstabilitätsgesetz;Ja
07.05.2010;Währungsunion-Finanzstabilitätsgesetz, Entschließungsantrag von Bündnis 90/Die Grünen;Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1638);Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1637);Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1639);Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1648);Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1647);Nein
07.05.2010;Währungsunion-Finanzstabilitätsgesetz (17/1656);Ja
07.05.2010;Währungsunion-Finanzstabilisierungsgesetz (17/1544, 17/1561);Ja
06.05.2010;Hartz IV-Gesetzgebung kippen;Ja
06.05.2010;Erneuerbare-Energien-Gesetz;Ja
22.04.2010;Steuerfreiheit der Sonntags-, Feiertags- und Nachtarbeitszuschläge;Ja
25.03.2010;Änderung des Umsatzsteuergesetzes;Nein
19.03.2010;Entschließungsantrag zum Haushaltsgesetz 2010;Nein
19.03.2010;Haushaltsgesetz 2010;Ja
17.03.2010;Haushaltsgesetz 2010 (Bundeskanzlerin und Bundeskanzleramt);Ja
16.03.2010;Änderungsantrag zum Haushaltsgesetz 2010;Nein
16.03.2010;Änderungsantrag zum Haushaltsgesetz 2010 (Arbeit);Nein
16.03.2010;Haushaltsgesetz 2010 (Arbeit);Nein
26.02.2010;Mandatsverlängerung in Afghanistan (ISAF);Ja
18.12.2009;Mandatsverlängerung in Bosnien und Herzegowina;Ja
17.12.2009;Mandatsverlängerung Piraten-Bekämpfung vor Somalia;Ja
04.12.2009;Wachstumsbeschleunigungsgesetz;Ja
04.12.2009;Wachstumsbeschleunigungsgesetz, 2. Änderungsantrag von Bündnis 90/Die Grünen;Nein
04.12.2009;Wachstumsbeschleunigungsgesetz, 1. Änderungsantrag von Bündnis 90/Die Grünen;Nein
04.12.2009;Wachstumsbeschleunigungsgesetz, Änderungsantrag von Die Linke;Nein
04.12.2009;Wachstumsbeschleunigungsgesetz, Änderungsantrag der SPD;Nein
03.12.2009;Bundeswehreinsatz Enduring Freedom (OEF);Ja
03.12.2009;Bundeswehreinsatz in Libanon (UNIFIL);Ja
03.12.2009;Bundeswehreinsatz in Afghanistan (ISAF);Ja
